Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-,WIN
1,1,2019-10-23,20-237,DAL,0,WAS,6,8,1,1,33:31,12,19,0.632,4,9,0.444,6,8,0.75,9,3,2,0,4,34,24.3,0,1
2,2,2019-10-25,20-239,DAL,1,NOP,3,9,1,1,37:41,10,19,0.526,3,9,0.333,2,2,1.0,10,10,2,0,1,25,24.7,12,1
3,3,2019-10-27,20-241,DAL,0,POR,4,11,1,1,37:42,8,22,0.364,2,11,0.182,11,14,0.786,12,9,3,0,4,29,23.3,5,0
4,4,2019-10-29,20-243,DAL,1,DEN,4,2,2,1,32:30,3,12,0.25,1,6,0.167,5,8,0.625,4,5,2,0,1,12,6.7,-17,1
5,5,2019-11-01,20-246,DAL,0,LAL,6,12,1,1,38:08,10,23,0.435,4,9,0.444,7,8,0.875,13,15,0,1,3,31,26.8,-4,0
6,6,2019-11-03,20-248,DAL,1,CLE,5,10,4,1,33:33,9,17,0.529,5,10,0.5,6,6,1.0,14,15,0,0,2,29,31.2,15,1
7,7,2019-11-06,20-251,DAL,0,ORL,6,5,2,1,37:26,10,21,0.476,1,7,0.143,6,7,0.857,7,7,0,0,3,27,16.5,6,1
8,8,2019-11-08,20-253,DAL,0,NYK,8,13,1,1,35:13,13,26,0.5,3,11,0.273,9,9,1.0,14,10,0,0,5,38,26.6,-5,0
9,9,2019-11-09,20-254,DAL,1,MEM,2,11,3,1,28:41,9,16,0.563,2,6,0.333,4,5,0.8,14,8,2,0,0,24,27.0,1,1
10,10,2019-11-11,20-256,DAL,1,BOS,1,6,0,1,33:47,11,21,0.524,3,10,0.3,9,10,0.9,6,9,0,0,2,34,29.6,-17,0
11,11,2019-11-14,20-259,DAL,1,NYK,3,9,1,1,35:32,10,23,0.435,3,12,0.25,10,13,0.769,10,11,3,1,1,33,31.1,-3,0
12,12,2019-11-16,20-261,DAL,0,TOR,7,12,3,1,35:37,5,14,0.357,1,5,0.2,15,19,0.789,15,7,2,0,1,26,21.8,14,1
13,13,2019-11-18,20-263,DAL,0,SAS,5,9,2,1,35:15,14,27,0.519,5,13,0.385,9,13,0.692,11,12,0,0,5,42,32.6,11,1
14,14,2019-11-20,20-265,DAL,0,GSW,5,9,1,1,25:30,11,18,0.611,6,10,0.6,7,8,0.875,10,11,4,0,3,35,35.3,45,1
15,15,2019-11-22,20-267,DAL,0,CLE,2,7,0,1,28:29,11,18,0.611,4,8,0.5,4,4,1.0,7,14,0,0,2,30,30.9,21,1
16,16,2019-11-24,20-269,DAL,1,HOU,5,6,0,1,34:26,15,30,0.5,5,14,0.357,6,8,0.75,6,10,2,1,3,41,30.5,21,1
17,17,2019-11-26,20-271,DAL,0,LAC,7,6,2,1,34:31,4,14,0.286,0,8,0.0,14,16,0.875,8,6,3,0,4,22,14.8,-7,0
18,18,2019-11-29,20-274,DAL,1,PHO,2,7,2,1,37:33,12,24,0.5,3,11,0.273,15,18,0.833,9,11,1,0,4,42,37.4,3,1
19,19,2019-12-01,20-276,DAL,1,LAL,7,7,2,1,32:41,10,23,0.435,4,10,0.4,3,3,1.0,9,10,3,0,1,27,21.0,5,1
20,20,2019-12-03,20-278,DAL,1,NOP,4,16,2,1,28:29,9,18,0.5,5,12,0.417,10,13,0.769,18,5,0,0,0,33,28.5,16,1
21,21,2019-12-04,20-279,DAL,0,MIN,5,7,0,1,31:39,8,22,0.364,1,8,0.125,5,8,0.625,7,6,0,0,2,22,9.1,-16,1
22,22,2019-12-07,20-282,DAL,0,NOP,2,6,0,1,26:11,8,15,0.533,2,8,0.25,8,10,0.8,6,9,1,0,2,26,24.2,28,1
23,23,2019-12-08,20-283,DAL,0,SAC,6,7,0,1,35:02,10,24,0.417,3,12,0.25,4,5,0.8,7,8,0,0,2,27,14.7,4,0
24,24,2019-12-12,20-287,DAL,1,DET,3,11,1,1,33:39,14,24,0.583,6,13,0.462,7,12,0.583,12,11,0,0,2,41,35.7,29,1
25,25,2019-12-14,20-289,DAL,0,MIA,1,1,0,1,1:40,0,1,0.0,0,1,0.0,2,2,1.0,1,0,0,0,0,2,0.6,-4,0
30,26,2019-12-26,20-301,DAL,0,SAS,3,7,3,1,32:39,9,23,0.391,1,6,0.167,5,8,0.625,10,8,1,0,3,24,16.9,3,1
31,27,2019-12-28,20-303,DAL,1,GSW,3,10,2,1,30:05,8,16,0.5,5,8,0.625,10,10,1.0,12,15,2,0,0,31,36.9,20,1
