3P,3P%,TRB,AST,PTS,GmSc,WIN
4,0.444,9,3,34,24.3,1
3,0.333,10,10,25,24.7,1
2,0.182,12,9,29,23.3,0
1,0.167,4,5,12,6.7,1
4,0.444,13,15,31,26.8,0
5,0.5,14,15,29,31.2,1
1,0.143,7,7,27,16.5,1
3,0.273,14,10,38,26.6,0
2,0.333,14,8,24,27.0,1
3,0.3,6,9,34,29.6,0
3,0.25,10,11,33,31.1,0
1,0.2,15,7,26,21.8,1
5,0.385,11,12,42,32.6,1
6,0.6,10,11,35,35.3,1
4,0.5,7,14,30,30.9,1
5,0.357,6,10,41,30.5,1
0,0.0,8,6,22,14.8,0
3,0.273,9,11,42,37.4,1
4,0.4,9,10,27,21.0,1
5,0.417,18,5,33,28.5,1
1,0.125,7,6,22,9.1,1
2,0.25,6,9,26,24.2,1
3,0.25,7,8,27,14.7,0
6,0.462,12,11,41,35.7,1
0,0.0,1,0,2,0.6,0
1,0.167,10,8,24,16.9,1
5,0.625,12,15,31,36.9,1
0,0.0,4,7,19,12.5,0
3,0.188,10,7,35,24.4,0
5,0.625,13,7,31,27.1,1
5,0.333,12,10,39,29.0,0
5,0.5,11,10,38,32.8,1
1,0.143,9,10,27,17.5,0
1,0.2,10,7,25,14.4,0
1,0.333,8,12,19,14.3,1
2,0.222,8,2,20,8.5,1
0,0.0,15,17,25,24.4,1
8,0.667,8,7,35,27.4,1
3,0.25,10,9,36,26.9,0
2,0.182,6,9,27,18.6,1
2,0.2,6,7,25,14.2,0
5,0.417,11,5,29,21.8,1
1,0.25,6,2,21,12.7,0
3,0.429,12,8,33,28.0,1
4,0.5,10,8,33,25.4,1
1,0.167,9,7,20,17.3,1
3,0.273,10,14,26,17.3,1
0,0.0,4,10,23,14.5,0
1,0.125,5,9,23,14.6,0
4,0.364,17,10,30,24.0,1
2,0.25,4,6,21,14.6,1
4,0.308,10,8,36,28.2,0
6,0.462,7,8,38,28.5,0
2,0.25,6,9,28,22.3,1
1,0.111,13,10,28,14.9,0
0,0.0,8,11,40,32.5,0
2,0.333,20,12,34,31.0,1
6,0.462,3,6,29,17.4,0
3,0.333,14,19,36,40.1,1
2,0.25,8,10,25,18.2,0
1,0.5,5,0,18,14.8,0
0,0.0,8,5,32,22.3,0
2,0.4,4,7,27,20.7,0
0,0.0,9,8,24,21.5,1
0,0.0,2,5,12,7.3,0
3,0.3,15,7,27,18.7,1
3,0.3,16,11,33,24.4,1
2,0.286,9,13,38,35.3,1
3,0.333,10,10,20,15.2,1
5,0.556,13,9,34,32.3,1
1,0.143,10,13,28,21.9,0
6,0.545,16,15,36,33.3,0
0,0.0,7,9,15,14.7,0
0,0.0,12,12,13,13.8,1
4,0.333,9,11,36,28.0,1
1,0.167,5,8,26,19.8,0
3,0.375,11,16,35,37.1,0
2,0.286,4,6,30,20.4,0
2,0.333,6,7,25,20.0,0
3,0.429,8,7,29,19.7,0
1,0.25,5,8,25,18.8,0
1,0.2,8,14,27,27.1,1
3,0.429,6,6,27,17.4,0
7,0.583,7,11,42,32.5,1
1,0.143,8,5,26,11.7,1
2,0.286,10,10,28,24.0,1
5,0.625,8,12,46,39.3,1
5,0.625,7,9,44,37.4,0
3,0.3,7,5,21,12.7,1
6,0.75,10,8,31,26.3,1
3,0.5,3,4,19,9.5,0
3,0.3,6,7,27,22.0,1
5,0.5,10,9,33,27.3,1
2,0.2,12,12,22,16.0,1
3,0.3,5,12,21,17.5,1
4,0.364,10,16,25,19.3,0
6,0.545,6,9,42,36.5,1
4,0.308,9,9,38,30.3,0
8,0.889,7,4,37,27.6,1
2,0.222,4,4,15,7.1,1
4,0.4,3,7,25,19.9,1
7,0.636,8,5,36,25.0,1
3,0.375,8,7,26,15.6,1
1,0.125,8,6,26,16.3,1
6,0.545,9,8,31,21.5,1
1,0.111,9,5,23,9.7,0
3,0.375,9,9,27,20.7,1
